"アイスランド","レイキャビク"
"アイルランド","ダブリン"
"アゼルバイジャン","バクー"
"アフガニスタン","カブール"
"アメリカ","ワシントンD.C."
"アラブ首長国連邦","アブダビ"
"アルジェリア","アルジェ"
"アルゼンチン","ブエノスアイレス"
"アルバニア","ティラナ"
"アルメニア","エレバン"
"アンゴラ","ルアンダ"
"アンティグア・バーブーダ","セントジョンズ"
"アンドラ","アンドララベリャ"
"イエメン","サヌア"
"イスラエル","エルサレム"
"イタリア","ローマ"
"イラク","バグダッド"
"イラン","テヘラン"
"インド","ニューデリー"
"インドネシア","ジャカルタ"
"ウガンダ","カンパラ"
"ウクライナ","キエフ"
"ウズベキスタン","タシケント"
"ウルグアイ","モンテビデオ"
"エクアドル","キト"
"エジプト","カイロ"
"エストニア","タリン"
"エチオピア","アディスアベバ"
"エリトリア","アスマラ"
"エルサルバドル","サンサルバドル"
"オーストラリア","キャンベラ"
"オーストリア","ウィーン"
"オマーン","マスカット"
"オランダ","アムステルダム"
"ガーナ","アクラ"
"カーボヴェルデ","プライア"
"ガイアナ","ジョージタウン"
"カザフスタン","アスタナ"
"カタール","ドーハ"
"カナダ","オタワ"
"ガボン","リーブルビル"
"カメルーン","ヤウンデ"
"ガンビア","バンジュール"
"カンボジア","プノンペン"
"ギニア","コナクリ"
"ギニアビサウ","ビサウ"
"キプロス","ニコシア"
"キューバ","ハバナ"
"ギリシャ","アテネ"
"キリバス","タラワ"
"キルギス","ビシュケク"
"グアテマラ","グアテマラシティ"
"クウェート","クウェート"
"ジョージア","トビリシ"
"イギリス","ロンドン"
"グレナダ","セントジョージズ"
"クロアチア","ザグレブ"
"ケニア","ナイロビ"
"コートジボワール","ヤムスクロ"
"コスタリカ","サンホセ"
"コソボ","プリシュティナ"
"コモロ","モロニ"
"コロンビア","ボゴタ"
"コンゴ共和国","ブラザビル"
"コンゴ民主共和国","キンシャサ"
"サウジアラビア","リヤド"
"サモア","アピア"
"サントメ・プリンシペ","サントメ"
"ザンビア","ルサカ"
"サンマリノ","サンマリノ"
"シエラレオネ","フリータウン"
"ジブチ","ジブチ"
"ジャマイカ","キングストン"
"シリア","ダマスカス"
"シンガポール","シンガポール"
"ジンバブエ","ハラレ"
"スイス","ベルン"
"スウェーデン","ストックホルム"
"スーダン","ハルツーム"
"スペイン","マドリード"
"スリナム","パラマリボ"
"スリランカ","スリジャヤワルダナプラコッテ"
"スロバキア","ブラチスラバ"
"スロベニア","リュブリャナ"
"スワジランド","ムババーネ"
"赤道ギニア","マラボ"
"セーシェル","ビクトリア"
"セネガル","ダカール"
"セルビア","ベオグラード"
"セントクリストファー・ネーヴィス","バセテール"
"セントビンセント・グレナディーン","キングスタウン"
"セントルシア","カストリーズ"
"ソマリア","モガディシュ"
"ソロモン諸島","ホニアラ"
"タイ","バンコク"
"韓国","ソウル"
"リビア","トリポリ"
"タジキスタン","ドゥシャンベ"
"タンザニア","ドドマ"
"チェコ","プラハ"
"チャド","ンジャメナ"
"中央アフリカ","バンギ"
"中国","北京"
"チュニジア","チュニス"
"北朝鮮","ピョンヤン"
"チリ","サンティアゴ"
"ツバル","フナフティ"
"デンマーク","コペンハーゲン"
"ドイツ","ベルリン"
"トーゴ","ロメ"
"ドミニカ共和国","サントドミンゴ"
"ドミニカ国","ロゾー"
"トリニダード・トバゴ","ポートオブスペイン"
"トルクメニスタン","アシガバット"
"トルコ","アンカラ"
"トンガ","ヌクアロファ"
"ナイジェリア","アブジャ"
"ナウル","ヤレン"
"ナミビア","ウィントフック"
"ニカラグア","マナグア"
"ニジェール","ニアメ"
"日本","東京"
"ニュージーランド","ウェリントン"
"ネパール","カトマンズ"
"ノルウェー","オスロ"
"バーレーン","マナーマ"
"ハイチ","ポルトープランス"
"パキスタン","イスラマバード"
"バチカン","バチカン"
"パナマ","パナマシティ"
"バヌアツ","ポートビラ"
"バハマ","ナッソー"
"パプアニューギニア","ポートモレスビー"
"パラオ","マルキョク"
"パラグアイ","アスンシオン"
"バルバドス","ブリッジタウン"
"ハンガリー","ブダペスト"
"バングラデシュ","ダッカ"
"東ティモール","ディリ"
"フィジー","スバ"
"フィリピン","マニラ"
"フィンランド","ヘルシンキ"
"ブータン","ティンプー"
"ブラジル","ブラジリア"
"フランス","パリ"
"ブルガリア","ソフィア"
"ブルキナファソ","ワガドゥグー"
"ブルネイ","バンダルスリブガワン"
"ブルンジ","ブジュンブラ"
"ベトナム","ハノイ"
"ベナン","ポルトノボ"
"ベネズエラ","カラカス"
"ベラルーシ","ミンスク"
"ベリーズ","ベルモパン"
"ペルー","リマ"
"ベルギー","ブリュッセル"
"ポーランド","ワルシャワ"
"ボスニア・ヘルツェゴビナ","サラエボ"
"ボツワナ","ハボローネ"
"ボリビア","ラパス"
"ポルトガル","リスボン"
"ホンジュラス","テグシガルパ"
"マーシャル諸島","マジュロ"
"マケドニア","スコピエ"
"マダガスカル","アンタナナリボ"
"マラウイ","リロングウェ"
"マリ","バマコ"
"マルタ","バレッタ"
"マレーシア","クアラルンプール"
"ミクロネシア","パリキール"
"南アフリカ","プレトリア"
"ミャンマー","ネーピードー"
"メキシコ","メキシコシティ"
"モーリシャス","ポートルイス"
"モーリタニア","ヌアクショット"
"モザンビーク","マプト"
"モナコ","モナコ"
"モルディブ","マレ"
"モルドバ","キシニョフ"
"モロッコ","ラバト"
"モンゴル","ウランバートル"
"モンテネグロ","ポドゴリツァ"
"ヨルダン","アンマン"
"ラオス","ビエンチャン"
"ラトビア","リガ"
"リトアニア","ビリニュス"
"リヒテンシュタイン","ファドゥーツ"
"リベリア","モンロビア"
"ルーマニア","ブカレスト"
"ルクセンブルク","ルクセンブルク"
"ルワンダ","キガリ"
"レソト","マセル"
"レバノン","ベイルート"
"ロシア","モスクワ"
"クック諸島","アバルア"
"南スーダン","ジュバ"
